cc,Residual,AverageMatch,Mean,Variance,Skewness,Kurtosis
BOL_A,1.0135357049889214e-06,2.0,0.025431432984596058,0.002011523666350001,0.005481362918993857,2.9357248321239537
CYP_A,7.08799810774787e-07,2.0,0.026085758018505045,0.001895992128600001,0.11524081418823262,2.9864485206757028
FIN_A,7.778148899533497e-07,2.0,0.026652839714559503,0.001993575985150001,-0.012584098206198878,3.0604590365074293
IND_A,1.0135357049889214e-06,2.0,0.023773809565359946,0.0018457169287500006,-0.0029181862918883487,2.8716341052271748
KOR_A,7.174915573391558e-07,2.0,0.025911271342795982,0.001844173717400001,0.13349185320694873,3.0550111032504526
NOR_A,6.676314665769829e-07,2.0,0.024166404585705344,0.001992443789400001,-0.028265477424544442,3.018114150188241
QAT_A,1.0135357049889214e-06,2.0,0.02617300135635958,0.0019941868000000014,0.21027961409962478,2.8840443228073624
THA_A,1.0135357049889214e-06,2.0,0.0266528397145595,0.001925073385150001,0.12824014037610915,2.9980033699165722
AGO_E,3.191830847218984e-07,2.0,0.024035539578923543,0.001935957687150001,0.06816849033068073,3.0662996564349267
BRA_E,1.8143964321181096e-07,2.0,0.025082459633177925,0.0018693122687500007,-0.007914566660002748,2.875611381200208
CZE_E,3.508002483827232e-07,2.0,0.025954893011723247,0.0020340990787500006,-0.01064510224503704,2.9977564853985683
FRA_E,3.508002483827232e-07,2.0,0.024079161247850808,0.0018482305936000007,0.018111397387017326,3.053022989400471
IRL_E,3.508002483827232e-07,2.0,0.024515377937123467,0.0018156157446000006,-0.17404123013042985,2.903147757769626
LUX_E,3.508002483827232e-07,2.0,0.02333759287608729,0.0018320164087500008,-0.03110479929751157,3.0280088387838613
NZL_E,3.508002483827232e-07,2.0,0.02578040633601418,0.0018908981991500012,0.05119269583875976,3.069461047530387
ROU_E,2.3879736411140825e-07,2.0,0.02721992141061396,0.0018507575784000008,-0.04349661631948868,2.843024830089804
TUN_E,1.9113920765069025e-07,2.0,0.024384512930341672,0.002063676979150001,0.11119395702934735,3.011177665790169
ARG_E,4.435263884909488e-07,2.0,0.02525694630888699,0.002054619413150001,-0.09861549592467231,3.0253330633432727
CAN_E,3.508002483827232e-07,2.0,0.027045434734904894,0.0019097002600000008,0.0686051987055081,2.9346239224323365
DEU_E,3.508002483827232e-07,2.0,0.022770511180032833,0.0018448435206000005,0.064424609769151,2.9808847468144752
GBR_E,3.508002483827232e-07,2.0,0.023293971207160022,0.0020604897054000005,-0.02395213658077426,3.1641198537476263
IRN_E,2.2743629156775675e-06,2.0,0.027132678072759424,0.001946836280600001,0.036935617472098864,2.9415798407526434
MEX_E,6.510039126270066e-07,2.0,0.02442813459926894,0.0020215878400000006,0.008722926653740156,2.975693670774476
PER_E,1.53525781526414e-06,2.0,0.025911271342795982,0.0018213395174000008,0.06273677452443266,3.0037230847785654
SAU_E,6.851385144206823e-07,2.0,0.023991917909996278,0.0018372016750000007,-0.009961010349613319,2.9537553556927483
TUR_E,2.214476723002359e-07,2.0,0.025300567977814256,0.0018944774600000004,0.1293970806192328,2.9659355961756764
AUS_E,3.508002483827232e-07,2.0,0.0249952162953234,0.0019041268123500003,0.026687168859175766,3.08865336548681
CHE_E,3.508002483827232e-07,2.0,0.025649541329232386,0.001990868229600001,-0.008309867226038992,2.879253381571203
DNK_E,3.508002483827232e-07,2.0,0.024602621274978,0.0019216958264000011,0.04319302622646836,3.0160826596915546
GRC_E,3.508002483827232e-07,2.0,0.026347488032068638,0.0018213775744000005,-0.04566760627445097,3.0618887921297397
ISL_E,3.508002483827232e-07,2.0,0.02643473136992317,0.0018738581774000007,0.09532425322975258,2.967958086498254
MLT_E,3.508002483827232e-07,2.0,0.026740083052414033,0.0018899696083500008,0.00818475713993137,3.0740221666150522
PHL_E,2.704049767732456e-07,2.0,0.024253647923559874,0.0018055458624000012,0.06644619893516947,3.0139834219617594
SGP_E,3.508002483827232e-07,2.0,0.024340891261414407,0.0017898892126000008,0.10921345556374555,2.9554916858599714
TWN_E,3.508002483827232e-07,2.0,0.022857754517887366,0.0018484741584000007,0.030334575454257773,3.011989738828964
AUT_E,3.508002483827232e-07,2.0,0.026434731369923175,0.001904303777400001,0.010054507334084343,3.0462329599896996
CHL_E,2.8134855769954886e-07,2.0,0.02809235478915928,0.002057483202400001,0.06751336433257117,2.9478170682951435
EGY_E,4.5901565034617346e-07,2.0,0.02669646138348677,0.0019398718496000007,0.010742817567845704,2.964151716049307
HKG_E,3.508002483827232e-07,2.0,0.025475054653523323,0.001923674790400001,-0.10069309974247964,3.136337833966458
ISR_E,3.508002483827232e-07,2.0,0.027219921410613957,0.0019687342784000007,0.05531564855443251,2.9460965358771944
MYS_E,5.531514373883993e-07,2.0,0.02342483621394182,0.0019230791983500008,0.10828791148130569,3.033523499290804
POL_E,4.2135435995546315e-07,2.0,0.02591127134279598,0.0019545390174000006,-0.028809042830871476,3.0759846702679283
SVK_E,3.508002483827232e-07,2.0,0.02381743123428721,0.0018227095694000012,0.19436316612028404,2.9146355751925253
URY_E,1.5186135390594838e-06,2.0,0.02333759287608729,0.0019614102087500006,0.005232362164905495,2.963954339105797
BEL_E,3.508002483827232e-07,2.0,0.026216623025286843,0.0018149364271500008,0.04102886497472981,3.0326817576496516
CHN_E,3.2735754652992056e-06,2.0,0.026216623025286843,0.0019176903271500008,0.03642960046761599,2.944604227834253
ESP_E,3.508002483827232e-07,2.0,0.022814132848960098,0.0019132604923500006,0.026145477934023335,2.968357712771221
HUN_E,5.903252909902666e-07,2.0,0.026958191397050364,0.001925828816600001,0.017268323148190896,3.1047990766916453
ITA_E,3.508002483827232e-07,2.0,0.025605919660305117,0.001964561328350001,-0.033719433212327427,2.9079003090059117
NAM_E,9.804571654129257e-07,2.0,0.02425364792355987,0.001771294562400001,0.1084936949191065,2.9154050858684832
PRT_E,3.508002483827232e-07,2.0,0.024340891261414407,0.001995397012600001,0.01940916779032794,3.026852607017911
SVN_E,3.508002483827232e-07,2.0,0.026391109700995907,0.0019503736787500011,-0.012310692988264685,2.9750166007997216
USA_E,3.508002483827232e-07,2.0,0.025387811315668793,0.0018215526366000007,-0.028337781391164232,2.9219704046150095
BGR_E,2.4037823068602773e-07,2.0,0.024122782916778076,0.0016958027943500004,-0.11006432445918746,3.0651624975488527
COL_E,2.7501156157734e-07,2.0,0.02464624294390527,0.0018681705587500004,0.09100574965636858,2.8637316558697496
EST_E,3.508002483827232e-07,2.0,0.02333759287608729,0.0019271589087500008,0.1102464201641813,2.955097867926166
IDN_E,2.849937330836191e-07,2.0,0.024820729619614332,0.0018519278311500008,0.07026250589887909,3.0545762397215928
JPN_E,3.508002483827232e-07,2.0,0.0248643512885416,0.0017336866350000006,0.010148803717946053,2.906066714127003
NLD_E,3.508002483827232e-07,2.0,0.023163106200378224,0.0018972156611500011,-0.0492228795033732,3.041654119895446
PRY_E,5.320824283464227e-07,2.0,0.026609218045632235,0.0019026597150000007,0.017204580622575412,3.1194917404125637
SWE_E,3.508002483827232e-07,2.0,0.022028942808269312,0.0019066081287500006,0.1597467666136791,2.9182814672812945
ZAF_E,4.4864350436005854e-07,2.0,0.024602621274978,0.0018798331264000007,0.1497694711730724,3.046639430415805
BOL_E,3.5654105260558424e-07,2.0,0.024471756268196202,0.0019642720951500007,-0.0656784596849219,3.0624642628000984
CYP_E,3.508002483827232e-07,2.0,0.023424836213941824,0.001995387498350001,0.11808362804752956,3.0090380971237174
FIN_E,3.508002483827232e-07,2.0,0.026085758018505045,0.0017285413286000008,0.06524717414470364,2.984415249022925
IND_E,2.752263561891628e-07,2.0,0.02386105290321448,0.0019443150043500009,0.014109938034975907,3.0543740274523925
KOR_E,3.508002483827232e-07,2.0,0.024689864612832534,0.001875532685400001,0.16049873774920131,2.8755225725639484
NOR_E,3.508002483827232e-07,2.0,0.02373018789643268,0.001868720482400001,0.04755606197900542,3.0001041391289407
QAT_E,4.0165912938587616e-07,2.0,0.026303866363141373,0.0018598284643500005,0.11967916517159259,3.1291228159895295
THA_E,4.960120152559517e-07,2.0,0.02656559637670497,0.0018459909391500009,-0.022264372283129778,2.9751075578520627
AGO_R,1.6792754193479745e-06,2.0,0.025082459633177925,0.0020063174687500007,0.03333798570327304,2.935316887380946
BRA_R,7.336789969734132e-07,2.0,0.025169702971032458,0.001899179402350001,0.08548630128763542,3.062579878234531
CZE_R,2.7138160870316593e-06,2.0,0.026740083052414033,0.001992723508350001,-0.04591329840764443,2.962857943364943
FRA_R,2.7531949218822287e-06,2.0,0.023730187896432685,0.0020513940824000007,0.09434952981418675,2.992879559502881
IRL_R,3.2874947931068963e-06,2.0,0.025126081302105193,0.0019908073384000005,0.08879467667147031,3.111071609864653
LUX_R,1.420421184174119e-06,2.0,0.026958191397050364,0.002005748516600001,0.16051923931088324,2.908571681707184
NZL_R,1.503273481509493e-06,2.0,0.02708905640383216,0.0018597675731500008,0.12491533004545273,2.96821156138752
ROU_R,1.4934823627878043e-06,2.0,0.02599851468065051,0.0018130050344000006,-0.1863258525218224,3.1211645788642817
TUN_R,2.1534628404334082e-06,2.0,0.02263964617325103,0.0019820827711500015,-0.02881211551284155,2.9263245067147996
ARG_R,3.529197826418413e-06,2.0,0.02595489301172325,0.0018590368787500004,0.021182099314988295,2.876992178132808
CAN_R,4.756930661734802e-07,2.0,0.025038837964250663,0.0018734014934000008,0.04046618614674066,3.0724559434873333
DEU_R,1.90765768234649e-06,2.0,0.0248643512885416,0.0020381426350000007,0.11837905316067877,2.884731275044762
GBR_R,2.5701088372843904e-06,2.0,0.025431432984596054,0.001988689466350001,0.07014591133853726,2.915988743645014
IRN_R,1.625489833723771e-06,2.0,0.025169702971032458,0.0019258193023500012,-0.1640162300860096,3.1585186091796427
MEX_R,6.606634817472811e-07,2.0,0.02578040633601418,0.001849035499150001,0.05607920603496978,2.899644922862122
PER_R,1.1473292478453146e-06,2.0,0.02338121454501456,0.0018927725064000007,-0.02971039460874633,2.9577273640621025
SAU_R,9.230384027392737e-07,2.0,0.025518676322450588,0.001930964608750001,0.037044232090720865,3.062575159482381
TUR_R,8.859392461210998e-07,2.0,0.023686566227505416,0.0017737435303500004,0.07825015447428647,2.9197029115823687
AUS_R,1.7483797309367234e-06,2.0,0.024471756268196206,0.0019794948951500006,0.1316201235997037,2.8071804182609013
CHE_R,1.9339911052340037e-06,2.0,0.02525694630888699,0.0019823111131500007,-0.036340035680546535,3.103717101346752
DNK_R,2.7015325795058837e-06,2.0,0.022377916159687438,0.0019634196183500006,-0.02670828417517169,2.9427320397384684
GRC_R,2.8163846364840823e-06,2.0,0.026783704721341298,0.0019314003614000006,0.08887928625192797,2.939723299009584
ISL_R,3.177812295463494e-06,2.0,0.025126081302105193,0.0019679731384000007,0.0073760723958101815,3.0582357199849532
MLT_R,1.7875213447019878e-06,2.0,0.026216623025286843,0.0020585012271500005,0.010162514760726113,3.0093577736409483
PHL_R,3.95074405658491e-06,2.0,0.023424836213941824,0.0018431594983500008,-0.015019859214812043,2.843187391403019
SGP_R,2.9899796626803173e-06,2.0,0.025300567977814256,0.0018982831600000006,0.017125615208612555,3.0691532685704455
TWN_R,3.098215129047766e-07,2.0,0.024995216295323395,0.0020221035123500005,0.13522670620299632,2.9136329751375922
AUT_R,5.948648711470956e-07,2.0,0.02569316299815965,0.0018230806251500011,0.07009936693921189,2.895090862908119
CHL_R,1.8696562933616922e-06,2.0,0.02451537793712347,0.0017737530446000007,-0.05902279942471982,3.000201417327416
EGY_R,2.1981164737344768e-06,2.0,0.023904674572141748,0.0018337689336000009,-0.0009331685875476611,2.9819422097381003
HKG_R,1.8195526159817382e-06,2.0,0.025475054653523323,0.001995983090400001,0.11642239494306802,2.9120329491334016
ISR_R,1.1472328317413933e-06,2.0,0.02495159462639613,0.0018777628256000007,-0.0495012061552133,2.9562510289722246
MYS_R,1.3870213890622508e-06,2.0,0.024384512930341672,0.001968534479150001,-0.0575593326276529,3.045467567119942
POL_R,2.5751926393686194e-06,2.0,0.025954893011723247,0.0017981456787500006,0.019131925334141958,2.884279770261051
SVK_R,1.0350673176702438e-06,2.0,0.026085758018505042,0.0018236838286000009,-0.009815762318811514,3.055989641889545
URY_R,1.1565885429778043e-06,2.0,0.026391109700995907,0.0019694021787500012,-0.08635496777233763,2.9920042328503116
BEL_R,3.2238199479951138e-06,2.0,0.02687094805919583,0.001964776350400001,-0.03039065242980978,2.883562176330874
CHN_R,2.8961850645096787e-06,2.0,0.023948296241069013,0.001978200957150001,-0.008197022415111532,3.0888758277649715
ESP_R,2.1468422048803295e-06,2.0,0.025562297991377853,0.001980113321400001,0.01261220730045108,2.9471064435888343
HUN_R,9.79189568696749e-07,2.0,0.02578040633601418,0.001883286799150001,0.04651868282937929,2.893018188077732
ITA_R,1.1789545075748568e-06,2.0,0.025387811315668793,0.0019052780366000009,-0.10316773797219776,3.024019767940915
NAM_R,9.370044522646353e-07,2.0,0.025126081302105197,0.0018461907384000006,0.061056581240523405,2.955333168610396
PRT_R,1.411565449061659e-06,2.0,0.024340891261414407,0.0018545861126000006,0.06933951568051941,2.902901524169521
SVN_R,1.7832172441765818e-06,2.0,0.02346845788286909,0.0018544338846000006,0.009714124855430347,3.027799047321869
USA_R,4.528679071812936e-07,2.0,0.02578040633601418,0.001978429299150001,0.12936946750243739,2.8305832340542714
BGR_R,1.1146136775062888e-06,2.0,0.02669646138348677,0.0019741231496000003,0.07003820855586779,2.8429311636675565
COL_R,4.474834275217178e-06,2.0,0.0247334862817598,0.0019285594063500012,0.06344341669618925,3.0369728448377917
EST_R,4.668253069796488e-06,2.0,0.02364294455857815,0.0020479156726000004,-0.004639313608265914,2.9436246143324496
IDN_R,7.248328347289511e-07,2.0,0.024777107950687063,0.0018407714216000003,0.03399058625523618,2.888860631913426
JPN_R,2.995387881211132e-06,2.0,0.02617300135635958,0.001918072800000001,-0.0853734720953139,3.01322555805376
NLD_R,5.440135319647331e-07,2.0,0.02700181306597763,0.0018416524411500005,0.08879530864063512,2.9426918111444906
PRY_R,1.4232400867450169e-06,2.0,0.02573678466708692,0.0018113229150000007,0.0018929183464925523,2.938304844609104
SWE_R,1.2523808305042008e-06,2.0,0.024471756268196206,0.0019376321951500007,0.04348036421579409,3.0051278570120536
ZAF_R,1.2673088786204835e-06,2.0,0.02656559637670497,0.001861213739150001,0.031126052763779406,2.943563168806911
BOL_R,1.561728592768472e-06,2.0,0.024253647923559874,0.0020491106624000014,0.0035000342131102247,2.955421100906704
CYP_R,2.495411806491649e-06,2.0,0.024035539578923543,0.0017761182871500005,-0.08781812134789288,3.072240137505511
