"rownames                                                                                            ","kappa                                                                                               ","mean 1                                                                                              ","mean 2                                                                                              ","stdev 1                                                                                             ","stdev 2                                                                                             ","skewness 1                                                                                          ","skewness 2                                                                                          ","kurtosis 1                                                                                          ","kurtosis 2                                                                                          ","residual                                                                                            ","Welfare 1                                                                                           ","Welfare 2                                                                                           ","Welfare 1 Aut                                                                                       ","Welfare 2 Aut                                                                                       ","Gain PCU 1                                                                                          ","Gain PCU 2                                                                                          ","pop_A                                                                                               ","pop_B                                                                                               "
"DEU  ",0.1000026165042E+01,0.0000000000000E+00,0.0000000000000E+00,0.5027758111041E-01,0.5027758111041E-01,0.1266692430418E+01,0.1266692430418E+01,0.2917377838599E+01,0.2917377838599E+01,0.1044197583434E-08,-0.6605651224999E+00,-0.6605193424108E+00,-0.6609441437116E+00,-0.6609441437416E+00,0.1000324993585E+01,0.1000364276577E+01,0.8351704500000E+02,0.8351704500000E+02
"MEX  ",0.1141262978036E+01,0.0000000000000E+00,0.0000000000000E+00,0.5027758111041E-01,0.5027758111041E-01,0.1266692430418E+01,0.1266692430418E+01,0.2917377838599E+01,0.2917377838599E+01,0.2719967365054E-08,-0.7345301445996E+00,-0.6021496851188E+00,-0.7335662163974E+00,-0.6055617110701E+00,0.9992495731108E+00,0.1003213106567E+01,0.1275755290000E+03,0.8351704500000E+02
