 0.6151020699056E+00, 0.6133537514141E+00, 0.6113831425021E+00, 0.6094775197767E+00, 0.6076531669717E+00, 0.6059821300966E+00, 0.6045682160569E+00, 0.6033552527253E+00, 0.6019280441646E+00
 0.6175857832825E+00, 0.6158472338824E+00, 0.6138843451162E+00, 0.6119857313007E+00, 0.6101677681087E+00, 0.6085026914359E+00, 0.6070945492617E+00, 0.6058871131736E+00, 0.6044643333868E+00
 0.6173907303005E+00, 0.6156623102485E+00, 0.6137090367689E+00, 0.6118195192308E+00, 0.6100101189347E+00, 0.6083529015157E+00, 0.6069516517013E+00, 0.6057503146306E+00, 0.6043338226935E+00
 0.6172921690750E+00, 0.6155688628486E+00, 0.6136204506572E+00, 0.6117355372755E+00, 0.6099304753645E+00, 0.6082772385906E+00, 0.6068794699498E+00, 0.6056812059971E+00, 0.6042678923397E+00
 0.6170575847113E+00, 0.6153466411461E+00, 0.6134099766653E+00, 0.6115361855337E+00, 0.6097416018042E+00, 0.6080979821366E+00, 0.6067086338811E+00, 0.6055178114884E+00, 0.6041121630996E+00
 0.6169345236218E+00, 0.6152307732989E+00, 0.6133008962889E+00, 0.6114334933153E+00, 0.6096449011828E+00, 0.6080067953318E+00, 0.6066223512889E+00, 0.6054359226727E+00, 0.6040346575957E+00
 0.6168356619803E+00, 0.6151382126806E+00, 0.6132142397962E+00, 0.6113523605238E+00, 0.6095689254141E+00, 0.6079355776926E+00, 0.6065554326734E+00, 0.6053729068221E+00, 0.6039754231229E+00
 0.6129576700466E+00, 0.6109977474277E+00, 0.6091084706089E+00, 0.6073054086162E+00, 0.6056790931550E+00, 0.6043312850492E+00, 0.6030937957400E+00, 0.6015998100859E+00, 0.5997651432600E+00
 0.6154527410943E+00, 0.6135003865760E+00, 0.6116179941800E+00, 0.6098212140966E+00, 0.6082008086291E+00, 0.6068587808133E+00, 0.6056266203380E+00, 0.6041368180881E+00, 0.6023050312394E+00
 0.6152697660938E+00, 0.6133269248583E+00, 0.6114535238596E+00, 0.6096651880278E+00, 0.6080524687904E+00, 0.6067171183656E+00, 0.6054910305484E+00, 0.6040076378739E+00, 0.6021827888471E+00
 0.6151773034024E+00, 0.6132392728374E+00, 0.6113704241681E+00, 0.6095863668591E+00, 0.6079775394663E+00, 0.6066455595140E+00, 0.6054225309643E+00, 0.6039423831572E+00, 0.6021210624962E+00
 0.6149574616064E+00, 0.6130310551224E+00, 0.6111732034605E+00, 0.6093994795355E+00, 0.6078000564947E+00, 0.6064762335693E+00, 0.6052606071917E+00, 0.6037882792483E+00, 0.6019754238010E+00
 0.6148429720053E+00, 0.6129232729057E+00, 0.6110717313240E+00, 0.6093039142379E+00, 0.6077098939300E+00, 0.6063908453710E+00, 0.6051795742861E+00, 0.6037116755143E+00, 0.6019034216887E+00
 0.6147516130876E+00, 0.6128377411496E+00, 0.6109916499971E+00, 0.6092289152923E+00, 0.6076395665761E+00, 0.6063247225766E+00, 0.6051173098177E+00, 0.6036531952670E+00, 0.6018487118978E+00
 0.6108607462602E+00, 0.6089759762095E+00, 0.6071791564003E+00, 0.6055705702108E+00, 0.6042437308624E+00, 0.6030111515238E+00, 0.6014697500564E+00, 0.5996307110045E+00, 0.5979521622964E+00
 0.6133639017116E+00, 0.6114859677364E+00, 0.6096953858030E+00, 0.6080926955970E+00, 0.6067716325154E+00, 0.6055443555798E+00, 0.6040069807439E+00, 0.6021707753155E+00, 0.6004948593589E+00
 0.6131910998924E+00, 0.6113221212548E+00, 0.6095399414275E+00, 0.6079448717016E+00, 0.6066304136939E+00, 0.6054091874966E+00, 0.6038782969503E+00, 0.6020490242423E+00, 0.6003793956147E+00
 0.6131037818416E+00, 0.6112393375402E+00, 0.6094614148678E+00, 0.6078702032003E+00, 0.6065590783439E+00, 0.6053409012061E+00, 0.6038132940861E+00, 0.6019875477582E+00, 0.6003211120447E+00
 0.6128963711146E+00, 0.6110428799212E+00, 0.6092752387511E+00, 0.6076933505849E+00, 0.6063902936869E+00, 0.6051794945884E+00, 0.6036597943704E+00, 0.6018425077092E+00, 0.6001837304022E+00
 0.6127890532586E+00, 0.6109418443815E+00, 0.6091800795590E+00, 0.6076035524491E+00, 0.6063052254609E+00, 0.6050987652199E+00, 0.6035835218142E+00, 0.6017708284281E+00, 0.6001162293788E+00
 0.6127039237044E+00, 0.6108621390898E+00, 0.6091054298506E+00, 0.6075335423479E+00, 0.6062393871708E+00, 0.6050367682550E+00, 0.6035253156964E+00, 0.6017163811338E+00, 0.6000652226045E+00
 0.6097677119882E+00, 0.6079282049441E+00, 0.6062205522137E+00, 0.6047732189502E+00, 0.6035473077294E+00, 0.6021859376272E+00, 0.6004230384295E+00, 0.5986126972146E+00, 0.5971412214072E+00
 0.6122748810883E+00, 0.6104418514137E+00, 0.6087401908895E+00, 0.6072986803686E+00, 0.6060783661937E+00, 0.6047216645777E+00, 0.6029619932473E+00, 0.6011542262221E+00, 0.5996855278373E+00
 0.6121072946635E+00, 0.6102829163072E+00, 0.6085892483636E+00, 0.6071547779047E+00, 0.6059406365104E+00, 0.6045901188287E+00, 0.6028373057125E+00, 0.6010362436417E+00, 0.5995731969243E+00
 0.6120226167114E+00, 0.6102026211212E+00, 0.6085130017962E+00, 0.6070820897727E+00, 0.6058710586803E+00, 0.6045236641197E+00, 0.6027743350592E+00, 0.6009766826101E+00, 0.5995164979561E+00
 0.6118215837972E+00, 0.6100121737534E+00, 0.6083323337949E+00, 0.6069100288352E+00, 0.6057065292459E+00, 0.6043666745301E+00, 0.6026257128641E+00, 0.6008362345548E+00, 0.5993829217516E+00
 0.6117179281760E+00, 0.6099145737215E+00, 0.6082403325195E+00, 0.6068230272057E+00, 0.6056239742645E+00, 0.6042884670125E+00, 0.6025520982665E+00, 0.6007670453883E+00, 0.5993175411501E+00
 0.6116359643160E+00, 0.6098378242936E+00, 0.6081684080442E+00, 0.6067554729463E+00, 0.6055603695182E+00, 0.6042286419875E+00, 0.6024960753266E+00, 0.6007146349151E+00, 0.5992683216164E+00
 0.6074354197440E+00, 0.6057919760913E+00, 0.6044135720046E+00, 0.6031977134371E+00, 0.6017291514993E+00, 0.5999037226929E+00, 0.5981741559830E+00, 0.5967655725007E+00, 0.5954986215948E+00
