"","cc","autocorr_coef","mean","stdev","skewness","kurtosis","mean_ar","var_ar","skewness_ar","kurtosis_ar"
"21","NO",0.499781685574132,2.00897519316461e-19,0.0101924617538604,-2.60897795270987,19.463388277785,0.000206997515087683,0.000134915128176646,-2.05934079625644,13.8045829435085
"22","NZ",0.136876325593495,-1.2862691314341e-19,0.0142603669906353,-3.70065159498477,30.5195627290816,1.39685461268716e-05,0.000204435824706468,-3.7007675621434,30.1336035080572
"23","PE",0.345968770519972,4.90805991905424e-19,0.0333922810445791,-7.34874015980693,70.0145950596298,-0.000441931266676753,0.00132154666648629,-6.26320999035683,53.2481720449596
"24","PH",0.515648383841056,3.63232146750493e-20,0.0166577798138861,-5.18123061803488,45.5025871018328,-0.000257820939059299,0.000393075699678996,-3.73617402762096,26.5697598367445
"25","PL",0.391244558235694,5.59732344122311e-19,0.0138992308576839,-2.64238217868909,17.2439591102233,-0.000394579387579761,0.000220429987145487,-2.19840520044169,13.2081405621567
"26","SA",0.531568631383355,9.61954714692586e-20,0.0116438866728427,0.290450919182579,12.1388150266913,0.000140391530895187,0.000185363416354934,0.306515359447111,8.08208738272971
"27","SE",0.452183573404705,-1.92236416657599e-19,0.0106358774950879,-3.68933830783699,29.0548731288268,-6.83465029658806e-05,0.000146136783523302,-2.83822843093384,19.249455272737
"28","SG",0.555388567265354,-1.90223759541939e-19,0.0195726936354672,-2.62589447090037,18.4931119767562,0.00044178662229361,0.000541725075425677,-1.85298772402523,11.3408870328104
"29","TH",0.496795594999692,6.9594058369002e-21,0.0177493553624253,-1.79706352081002,10.1865613706622,0.000547720075405503,0.000371582491527727,-1.27906205997771,7.63386496456049
"30","TR",0.318187037968947,-2.1917549829764e-19,0.0290877003556095,-0.545378839546632,8.44258549999367,7.01607147197357e-05,0.000907256432768269,-0.400569610578679,7.39173666076176
"31","US",0.440186680086779,-1.68013945190735e-19,0.0105386765302511,-5.66473888887269,50.2505481068921,0.000153909966616644,0.000134883710934868,-4.64282687413925,37.4178951548555
"32","XM",0.407413930780878,-1.02010238188248e-19,0.0144137578459537,-5.57869892000539,51.0210074319412,-0.00026941722437088,0.000252831600042084,-4.66565244248297,37.6245185865975
"33","ZA",0.307842011987335,-1.16592940550437e-19,0.0181815529494894,-7.33899801254259,69.4772619883835,0.00015542435320182,0.000334076108743932,-6.70848780181103,61.5943328564363
