"cc","autocorr_coef","mean","stdev","skewness","kurtosis","mean_ar","var_ar","skewness_ar","kurtosis_ar","pop"
"AGO",0.709914837496608,-3.64080602413035e-19,0.0494410216882704,-2.33760919137757,13.843602021452,0.00148245389092162,0.00466274408203013,-1.36480726685453,6.87717104571403,31.825295
"BRA",0.715357613100769,1.52155830308135e-18,0.0281225085862953,-0.188429248254538,2.83592747957068,-0.000529279296511019,0.00153001666895787,-0.111774694291997,2.86261933773675,211.049527
"CZE",0.59759091038595,-2.06446335279946e-19,0.0220163964745582,-0.749343779211729,7.59021439681881,-0.000772654687176745,0.000700817497931641,-0.505328659571635,5.48437549608715,10.689209
"FRA",0.59512827609257,-4.92172800949301e-19,0.0110912147142145,-0.631070802754989,4.31767666843961,0.000105283839320062,0.000192278240155501,-0.452363082479421,3.70786105256584,67.351247
"IRL",0.683518870283609,1.38167583661403e-18,0.0311508521284702,1.2890447764296,8.79208923561035,-0.0010967947260087,0.00171906835628477,0.685685436735149,5.00348562269342,4.882495
"LUX",0.558093318613078,1.39990140147062e-19,0.0254900655634122,0.223152781876404,2.95705881468761,0.000815296695856868,0.00092067627497101,0.148523072529883,3.02364408630139,0.615729
"NZL",0.527112363676071,8.52391507382481e-19,0.0219733443033186,-0.237417245967711,3.06549144587857,-0.00047068264417232,0.000656026999745004,-0.1622790124243,3.07551285710504,4.783063
"ROU",0.748190908830183,1.44775158474518e-18,0.0345881878184336,-0.431067375884895,3.64224207765724,0.000176729066942484,0.00267754766194883,-0.194559370033164,3.21667491526746,19.364557
"TUN",0.554522439710811,-8.35720032636734e-19,0.0324807272248146,0.584715120072918,6.84321806187815,0.00024757466713949,0.00143015582764131,0.457709472405745,5.30000461171977,11.694719
"ARG",0.539433584414308,2.94365483906817e-19,0.0410165495164236,-1.02711585508577,4.63728520917125,-0.000759013966123187,0.00241176337139936,-0.76477853574333,4.0668713240405,44.780677
"CAN",0.596099458553797,9.39560529373859e-20,0.015349723735092,-1.06603989830162,4.58823167723065,-0.000135248475366156,0.000352225978756724,-0.735066219646602,3.97987433461112,37.411047
