"year","cc","dlgdp_pc","disaster","recession","normal","expansion","boom"
1975,"ARG",-0.0214367427895239,NA,NA,-0.0214367427895239,NA,NA
1976,"ARG",-0.015297833911859,NA,NA,-0.015297833911859,NA,NA
1977,"ARG",0.0480144390905282,NA,NA,0.0480144390905282,NA,NA
1978,"ARG",-0.046504683810235,NA,NA,-0.046504683810235,NA,NA
1979,"ARG",0.054199573590052,NA,NA,NA,0.054199573590052,NA
1980,"ARG",-0.000942477630638261,NA,NA,-0.000942477630638261,NA,NA
1981,"ARG",-0.0689213212473706,NA,-0.0689213212473706,NA,NA,NA
1982,"ARG",-0.046949277055289,NA,NA,-0.046949277055289,NA,NA
1983,"ARG",0.0244902344943951,NA,NA,0.0244902344943951,NA,NA
1984,"ARG",0.00375971407195652,NA,NA,0.00375971407195652,NA,NA
1985,"ARG",-0.0843162823011306,NA,-0.0843162823011306,NA,NA,NA
1986,"ARG",0.0545897772058137,NA,NA,NA,0.0545897772058137,NA
1987,"ARG",0.00936657215512038,NA,NA,0.00936657215512038,NA,NA
1988,"ARG",-0.034528669840554,NA,NA,-0.034528669840554,NA,NA
1989,"ARG",-0.0839661028471244,NA,-0.0839661028471244,NA,NA,NA
1990,"ARG",-0.0276178438013722,NA,NA,-0.0276178438013722,NA,NA
1991,"ARG",0.0895830634502746,NA,NA,NA,0.0895830634502746,NA
1992,"ARG",0.0882303166339566,NA,NA,NA,0.0882303166339566,NA
1993,"ARG",0.0487299286118157,NA,NA,0.0487299286118157,NA,NA
1994,"ARG",0.0450549989091271,NA,NA,0.0450549989091271,NA,NA
1995,"ARG",-0.0403219601600504,NA,NA,-0.0403219601600504,NA,NA
1996,"ARG",0.0427458390864335,NA,NA,0.0427458390864335,NA,NA
1997,"ARG",0.0686476072407847,NA,NA,NA,0.0686476072407847,NA
1998,"ARG",0.026809558324195,NA,NA,0.026809558324195,NA,NA
1999,"ARG",-0.0445515573666934,NA,NA,-0.0445515573666934,NA,NA
2000,"ARG",-0.0187489791623826,NA,NA,-0.0187489791623826,NA,NA
2001,"ARG",-0.0544709200309677,NA,-0.0544709200309677,NA,NA,NA
2002,"ARG",-0.118547870980247,NA,-0.118547870980247,NA,NA,NA
2003,"ARG",0.0767655754814152,NA,NA,NA,0.0767655754814152,NA
2004,"ARG",0.0788492961044125,NA,NA,NA,0.0788492961044125,NA
2005,"ARG",0.0772948648482659,NA,NA,NA,0.0772948648482659,NA
2006,"ARG",0.0695553827869513,NA,NA,NA,0.0695553827869513,NA
2007,"ARG",0.0792423872387142,NA,NA,NA,0.0792423872387142,NA
2008,"ARG",0.0302947594046552,NA,NA,0.0302947594046552,NA,NA
2009,"ARG",-0.0685422485603909,NA,-0.0685422485603909,NA,NA,NA
2010,"ARG",0.0901335695097729,NA,NA,NA,0.0901335695097729,NA
2011,"ARG",0.0491429839641944,NA,NA,0.0491429839641944,NA,NA
2012,"ARG",-0.0205679815474947,NA,NA,-0.0205679815474947,NA,NA
2013,"ARG",0.0133546911290829,NA,NA,0.0133546911290829,NA,NA
2014,"ARG",-0.0352202909522321,NA,NA,-0.0352202909522321,NA,NA
2015,"ARG",0.0168679633054487,NA,NA,0.0168679633054487,NA,NA
2016,"ARG",-0.0305493514906231,NA,NA,-0.0305493514906231,NA,NA
2017,"ARG",0.0166688626217055,NA,NA,0.0166688626217055,NA,NA
2018,"ARG",-0.0341388188484006,NA,NA,-0.0341388188484006,NA,NA
2019,"ARG",-0.0307954051409598,NA,NA,-0.0307954051409598,NA,NA
1960,"AUS",NA,NA,NA,NA,NA,NA
1961,"AUS",-0.00908131217944452,NA,NA,-0.00908131217944452,NA,NA
1962,"AUS",0.0434687292044087,NA,NA,NA,NA,0.0434687292044087
1963,"AUS",0.0474717409345935,NA,NA,NA,NA,0.0474717409345935
1964,"AUS",0.0426912514908084,NA,NA,NA,0.0426912514908084,NA
